Id,nAnswers,QuestionId,Title,Body,Score,ViewCount,IsAccepted,Reason
11,5,9150446,compareTo with primitives -> Integer / int,"<p>Is it better to write</p>&#xA;&#xA;<pre><code>int primitive1 = 3, primitive2 = 4;&#xA;Integer a = new Integer(primitive1);&#xA;Integer b = new Integer(primitive2);&#xA;int compare = a.compareTo(b);&#xA;</code></pre>&#xA;&#xA;<p>or </p>&#xA;&#xA;<pre><c",55,109589,1,The problem is immediately solved
12,5,2366933,Get content from XML PHP5,"<p>I麓m working on a paymentsolution and need some help with the PHP. I麓m doing a HTTPRequest and in response I will get some XML. The XML Could look like this:  </p>&#xA;&#xA;<pre><code>&lt;?xml version="1.0" encoding="utf-8" ?&gt;&#xA;&lt;payer&gt;&#xA; ""p>I麓m working on a paymentsolution and need some he",1,4772,1,The problem is immediately solved
13,5,21581085,How to allocate array size in Python,<p>Python newbie here. I've searched quite a bit for a solution to this but nothing quite fits what I need. I would like to allocate an empty array at the start of my program that has a rows and b columns. I came up with a solution but encountered an inte,2,2814,1,The problem is immediately solved
14,5,18789949,if two n bit numbers are multiplied then the result will be maximum how bit long,<p>I was wondering if there is any formula or way to find out much maximum bits will be required if two n bits binary number are multiplied.&#xA;I searched a lot for this but was unable to find its answer anywhere.</p>&#xA;,9,11963,1,The problem is immediately solved
15,5,1732443,center MessageBox in parent form,<p>Is there a easy way to center MessageBox in parent form in .net 2.0</p>&#xA;,42,73259,1,The problem is immediately solved
16,5,27861847,"How to print "can't , doesn't , don't , .... " in PHP?""ow to print "can't , doesn't , don't , .""w to print "can't , doesn't"" to print "can'""to p","<p>I want to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to fix this ? </p>&#xA;&#xA;<p><img src="https://i.stack.imgur.com/zj4BA.jpg" alt="enter image description here"></p""p>I want to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to fix this ? </p>&#xA;&#xA;<p><img src="https://i.stack.imgur.com/zj4BA.jpg" alt="enter image de"">I want to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to fix this ? </p>&#xA;&#xA;<p><img src="https://i.stack.imgur.com/zj4BA.jpg" a""I want to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to fix this ? </p>&#xA;&#xA;<p><img src="https://i.stack.imgur"" want to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to fix this ? </p>&#xA;&#xA;<p><img src="https""want to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to fix this ? </p>&#xA;&#xA;<p>""ant to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to fix this ? </p""nt to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone know how to f""t to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let me. Anyone k"" to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP won't let m""to print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>But PHP w""o print " We can't find an email matching the information you provided. "</p>&#xA;&#xA;<p>"" print " We can't find an email matching the information you provided. "</p>&#xA;""print " We can't find an email matching the information you provided. "</""rint " We can't find an email matching the information you provide""int " We can't find an email matching the information you pr""nt " We can't find an email matching the information yo""t " We can't find an email matching the information"" " We can't find an email matching the informati""" We can't find an email matching the informat"" We can't find an email matching the informat",-2,102,1,The problem is immediately solved
17,5,8900131,Operator '||' cannot be applied to operands of type 'lambda expression' and 'lambda expression',"<p>How do i construct a LINQ <code>WHERE</code> clause that contains <code>OR</code>?</p>&#xA;&#xA;<hr>&#xA;&#xA;<p>i have a list of objects, and i want to return those that match a search criteria. </p>&#xA;&#xA;<p>The contained objects have many propert",8,8689,1,The problem is immediately solved
18,5,14663710,C# winform: Accessing public properties from other forms & difference between static and public properties,<p>I am trying to understand whats the difference between a static and public properties. But when I tried to access my public property 'Test' in other form it says 'null'.</p>&#xA;&#xA;<p>Heres Form1:</p>&#xA;&#xA;<pre><code>public partial class Form1 : ,5,19431,1,The problem is immediately solved
19,5,3470,How do I Transform Sql Columns into Rows?,<p>I have a very simple problem which requires a very quick and simple solution in SQL Server 2005.</p>&#xA;&#xA;<p>I have a table with x Columns. I want to be able to select one row from the table and then transform the columns into rows.</p>&#xA;&#xA;<p,12,5133,1,The problem is immediately solved
20,5,30648798,Why can't class be destructed in polymorphism C++,"<p>I have the problem with using the polymorphism.&#xA;The code here:</p>&#xA;&#xA;<pre><code>class A {&#xA;public:&#xA;    A() {cout &lt;&lt; "construct a" &lt;&lt; endl;}&#xA;    virtual ~A() {cout &lt;&lt; "destroy a" &lt;&lt; endl;}&#xA;};&#xA;&#xA;cl""p>I have the problem with using the polymorphism.&#xA;The code here:</p>&#xA;&#xA;<pre><code>class A {&#xA;publ",-1,65,1,The problem is immediately solved
21,5,27786070,removing and adding classes in button set,"<p>I have this set of buttons:</p>&#xA;&#xA;<pre><code>&lt;div class="test-button-set"&gt;&#xA;  &lt;button id="hdfs_test" class="btn btn-default btn-lg"&gt;HDFS&lt;/button&gt;&#xA;  &lt;button id="hive_test" class="btn btn-default btn-lg"&gt;HIVE&lt;/but""p>I have this set of buttons:</p>&#xA;&#xA;<pre><code>&lt;div class="test-button-set"&gt;&#xA;  &lt;button id="hdfs_test" class="btn btn-default btn-lg"&gt;HDFS&lt;/button&gt;&#xA;  &lt"">I have this set of buttons:</p>&#xA;&#xA;<pre><code>&lt;div class="test-button-set"&gt;&#xA;  &lt;button id="hdfs_t""I have this set of buttons:</p>&#xA;&#xA;<pre><c",1,88,1,The problem is immediately solved
22,5,7854165,Unicode- VARCHAR and NVARCHAR,<pre><code>-- Creating Table &#xA;&#xA;  Create Table Test1&#xA;  (&#xA;    id Varchar(8000)&#xA;  )&#xA;&#xA;-- Inserting a record  &#xA;Insert into Test1 Values ('ü瑁借舵＄ㄦü扮ü瑁芥锛涓浣澶杓宸сüü涓璩ü轰板挤锛楠ㄦ跺﹀缍ュ楂婧ü垫扮瑷绲灏藉韪涔╂üц姐ü');&#xA;</,7,11702,1,The problem is immediately solved
23,5,1856414,Cons of Oracle Database,<p>What cons of Oracle can you find?</p>&#xA;,-1,5091,1,The problem is immediately solved
24,5,10309076,jquery parent.html is not a function,<p>Complete newbie working with jQuery and am having a bit of a problem.</p>&#xA;&#xA;<p>I have a table with some of the cells having a  in them (never more than one select per cell).</p>&#xA;&#xA;<p>In the following code select is the  element that was p,1,5548,1,The problem is immediately solved
25,5,18595488,combining 2D arrays to 3D arrays,<p>Hello I have 3 numpy arrays as given below.</p>&#xA;&#xA;<pre><code>&gt;&gt;&gt; print A&#xA;[[ 1.  0.  0.]&#xA; [ 3.  0.  0.]&#xA; [ 5.  2.  0.]&#xA; [ 2.  0.  0.]&#xA; [ 1.  2.  1.]]&#xA;&gt;&gt;&gt; print B&#xA;[[  5.   9.   9.]&#xA; [ 37.   8.   9.,3,2940,1,The problem is immediately solved
26,5,231773,Better to develop cross-browser code up front or develop for one browser and go back and make it work in the others later?,<p>I'm looking for feedback on peoples experiences with developing sites that work across browsers.  It seems to me there are at least two obvious ways to approach the task of making your site/webapp work across browser:</p>&#xA;&#xA;<ol>&#xA;<li>Constant,7,778,1,The problem is immediately solved
27,5,10392369,print the first link in the document,"<p>I would like to print the first link in the page with JavaScript. But when I use the following code, it doesn't work:</p>&#xA;&#xA;<pre><code>&lt;html&gt;&#xA;    &lt;head&gt;&lt;title&gt;&lt;/title&gt;&lt;/head&gt;&#xA;    &lt;body&gt;&#xA;        &lt",1,126,1,The problem is immediately solved
28,5,8479236,building a FOR loop with several IF's and causing it to stop only in some runs,"<p>I have a 2D array which some of it's members are numbers (playerID -1,2,3,4 etc.)and the rest are zeros.</p>&#xA;&#xA;<p>I want to make a for loop containing all kinds of check methods that goes through the the loop and returns an answer. the checks ar",1,106,1,The problem is immediately solved
29,5,2727860,From Java/C++ to XML,"<p>I know Java and C++ but am looking to get in to XML. I don't want to waste time reading over the basics of programming in a book, so has anyone any recommendations for resources for learning XML that assume a knowledge of programming already, or even b",0,126,1,The problem is immediately solved
30,5,3503494,How do I select a collection within a collection using LINQ?,<p>I have the following structure.  </p>&#xA;&#xA;<pre><code>public class ToolSettings&#xA;{&#xA;  public string Extension { get; set; }&#xA;  public ObservableCollection&lt;Tool&gt; Tools { get; set; }&#xA;}&#xA;&#xA;public class Tool&#xA;{&#xA;  public ,2,4343,1,The problem is immediately solved
31,5,7908056,How do you catch a click event with plain Javascript?,"<p>I know that when using jQuery you can do <code>$('element').click();</code> to catch the click event of an HTML element, but how do you do that with plain Javascript?</p>&#xA;",9,23916,1,The problem is immediately solved
32,5,17071954,How to test if passed in datetime (GMT) is within 5 minutes of time?,"<p>In my service endpoint, I get a string representation of a GMT time.</p>&#xA;&#xA;<p>I have to validate that the passed in time is within 5 minutes of the current time.</p>&#xA;&#xA;<p>How should I be doing this?</p>&#xA;&#xA;<pre><code>        bool re",0,866,1,The problem is immediately solved
33,5,7517968,How to compare 2 dataTables,"<p>I have 2 datatables and I just want to know if they are the same or not. By "the same", I mean do they have exactly the same number of rows with exactly the same data in each column, or not.  I'd love to write (find) a method which accepts both tables ""p>I have 2 datatables and I just want to know if they are the same or not. By "the same", I mean do they have exactly the same number of rows with exactly the same data in eac"">I have 2 datatables and I just want to know if they are the same or not. By "the same", I mean ""I have 2 datatable",15,57260,1,The problem is immediately solved
34,5,59444,How do you check what version of SQL Server for a database using TSQL?,<p>Is there a system stored procedure to get the version #?</p>&#xA;,112,198109,1,The problem is immediately solved
35,5,2654025,"How to get year, month, day, hours, minutes, seconds and milliseconds of the current moment in Java?","<p>How can I get the year, month, day, hours, minutes, seconds and milliseconds of the current moment in Java? I would like to have them as <code>Strings</code>.</p>&#xA;",78,251891,1,The problem is immediately solved
36,5,14495290,Replace last 5 character from username with x,<p>I have to hide the last 5 characters of the username .&#xA;Below is the code </p>&#xA;&#xA;<pre><code>&lt;ul&gt;&#xA;&lt;li&gt;&#xA;            &lt;/dl&gt;&#xA;                &lt;dl&gt;&#xA;                &lt;dt&gt;Username:&lt;/dt&gt;&#xA;          ,0,1406,1,The problem is immediately solved
37,5,3834217,Replace & with &amp; in C#,"<p>Ok I feel really stupid asking this. I see plenty of other questions that resemble my question, but none seem to be able to answer it.</p>&#xA;&#xA;<p>I am creating an xml file for a program that is very picky about syntax. Sadly I am making the XML fi",4,24927,1,The problem is immediately solved
38,5,13297207,Is it valid to compare a double with an int in java?,"<pre><code>Utilities.getDistance(uni, enemyuni) &lt;= uni.getAttackRange()&#xA;</code></pre>&#xA;&#xA;<p>Utilities.getDistance returns double and getAttackRange returns int. The above code is part of an if statement and it needs to be true. So is the comp",18,32347,1,The problem is immediately solved
39,5,16102777,Some strange behavior Python list and dict,"<p>Can anyone explain why this happened with list and how to clean list after appending to another list?</p>&#xA;&#xA;<pre><code>&gt;&gt;&gt; t = {}&#xA;&gt;&gt;&gt; t["m"] = []&#xA;&gt;&gt;&gt; t&#xA;{'m': []}&#xA;&gt;&gt;&gt; t["m"].append('qweasdasd aw""p>Can anyone explain why this happened with list and how to clean list after appending",4,393,1,The problem is immediately solved
40,5,2227182,"How can I find out a files "mime-type(Content-Type?)"?""ow can I find out a files ","<p>Is there a way to find out the MIME-TYPE (or is it called "Content-Type"...) of a file in a linux bash script?</p>&#xA;&#xA;<p>The reason I need it is because imageshack appears to need it to upload a file as for some reason it detects the .png file as""p>Is there a way to find out the MIME-TYPE (or is it called "Content-Type"...) of a file in a linux bash script?</p>&#xA;&#xA;<p>The reason I need it is because imageshack appears to need it to"">Is there a way to find out the MIME-TYPE (or is it called "Content-Type"...) of a file in a linux bash script?</p>&#xA;&#xA;<p>The ""Is there a way to find out the MIME-TYPE (or is it called "Content-Type"""s there a way",71,57745,1,The problem is immediately solved
41,5,1438386,How to implement a timer in C on windows,"<p>How do I create a timer in C and after the time expires ,I should be able to call a callback function . The platform is windows. </p>&#xA;&#xA;<p>Can someone guide me </p>&#xA;&#xA;<p>Regards,&#xA;Mithun</p>&#xA;",6,8923,1,The problem is immediately solved
42,5,16154630,"In Java, how to traverse two lists at the same time?","<p>E.g.</p>&#xA;&#xA;<pre><code>for(String str : list1) {&#xA;...&#xA;}&#xA;&#xA;for(String str : list2) {&#xA;...&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>suppose we are sure that <code>list1.size()</code> equals <code>list2.size()</code>, how to traverse the",3,2286,1,The problem is immediately solved
43,5,1671084,stored proc return all rows when parameters are null,<p>when the optional parameters are null or empty how can i ignore that condition?&#xA;e.g.</p>&#xA;&#xA;<pre><code>declare @color nvarchar(50)&#xA;declare @time datetime&#xA;&#xA;set @color = null&#xA;&#xA;select * &#xA;  from apples &#xA; where apple.co,0,2139,1,The problem is immediately solved
44,5,15803827,NullPointerException is not being caught in try block,"<p>The following code to try to catch a <code>NullPointerException</code> via logging is not working. Can someone please look at this and guide me. </p>&#xA;&#xA;<pre><code>try {&#xA;    if (results1 != 00.00) {&#xA;        throw new Exception("Data must ""p>The foll",-4,709,1,The problem is immediately solved
45,5,9887918,How to count occurrences of a character in a String in java,"<p>Can someone tell me, how can I do an if-clause, that say me how often I used the decimal seperator in this String.</p>&#xA;&#xA;<p>i.e.: 1234,56,789</p>&#xA;",1,9671,1,The problem is immediately solved
46,5,4502759,Is there a standard way to link to an external website?,"<p>I was taught to do:</p>&#xA;&#xA;<pre><code>&lt;a href="http://www.google.com/"&gt;http://www.google.com/&lt;/a&gt; &#xA;</code></pre>&#xA;&#xA;<p>as opposed to: </p>&#xA;&#xA;<pre><code>&lt;a href="http://www.google.com/"&gt;Google&lt;/a&gt; &#xA;</co""p>I was taught to do:</p>&#xA;&#xA;<pre><code>&lt;a href="http://www.google.com/"&gt;http://www.google.com/&lt;/a&gt; &#xA;</code></pre>&#xA;&#xA;<p>as opposed to: </p>&#xA;&#xA;<pre><code>&lt;a h"">I was taught to do:</p>&#xA;&#xA;<pre><code>&lt;a href="http://www.google.com/"&gt;http://www.google.com/&lt;/a&gt; &#xA;</code></pre>&#x""I was taught to do:</p>&#xA;&#xA;<pre><code>&lt;a href="http://www.google.com/"&g"" was taught to do:</p>&#x",3,122,1,The problem is immediately solved
47,5,3276372,Freeing dynamically allocated memory,"<p>In C++, when you make a new variable on the heap like this:</p>&#xA;&#xA;<pre><code>int* a = new int;&#xA;</code></pre>&#xA;&#xA;<p>you can tell C++ to reclaim the memory by using delete like this:</p>&#xA;&#xA;<pre><code>delete a;&#xA;</code></pre>&#x",7,877,1,The problem is immediately solved
103,3,36477856,"SQL - Select name, no matter upper or lower case letters","<p>I try to select all names with "Schmidt". But some names are lower case and some upper case.</p>&#xA;&#xA;<p>I try this :</p>&#xA;&#xA;<pre><code>Select * from Account&#xA;where name like '%chmidt%'&#xA;or name like '%CHMIDT%'&#xA;</code></pre>&#xA;&#x""p>I try to select all names with "Schmidt". But some names are lower case and some upper case.</p>&#xA;&#xA;<p>I try this :</p>&#xA;&#xA;<pre><code>Select * from Account&#xA;where name like '%chmidt%'&#xA;or name like '%"">I try to select all names with "Schmidt". But some names are lower case and some upper case.</p>&#xA;&#xA;<p>I try this :</p>&#xA;&#xA;<pre><code>Select * from Account&#xA;where name li""I try to select all names with "Schmidt". But some names are lower case and some upper case.</p>&#xA;&#xA;<p>I try this :</p>&#xA;&#xA;<pre><code>Select "" try to select all names with "Schmidt". But some names are lower case and some upper case.</p>&#xA;&#xA;<p>I try this :<""try to select all names with "Schmidt". But some names are lower case and some upper case.""ry to select all names with "Schmidt". But some names are lo""y to select all names with "Sch"" to",1,2295,1,The problem is immediately solved
104,3,1394753,how do i put jquery code inside a html document? (lightbox),<p>how do i make the jquery show up in an existing html document. mainly the jquery lightbox plugin</p>&#xA;&#xA;<p>edit: ? how do i reference?</p>&#xA;,7,73199,1,The problem is immediately solved
105,3,44666411,Alias for rebasing master into feature on daily basis,<p>We've master branch and develop branch. And developers usually create their own branch for any new features and then create pull request for this new branch to merge it in develop.</p>&#xA;&#xA;<p>Since other developers keep adding new features and mer,1,32,1,The problem is immediately solved
106,3,5218000,Java UDP DatagramPacket,"<p>I have implemented, for study, an Echo server with UDP and datagrams but&#xA;I have a terminology doubt.</p>&#xA;&#xA;<p>If to send a <code>DatagramPacket</code> I must connect to a server listen on a port where to&#xA;send it through a socket why some",0,1333,1,The problem is immediately solved
107,3,195439,Can you have two forms on a page with ASP.NET MVC?,<p>Using web forms I know that you can only have one ASP.NET form on a page.  I've done some implementations where I've used Javascript to add other forms to a page to support things like logon controls (that post back to Logon.aspx instead of the current,3,1207,1,The problem is immediately solved
108,3,21709602,Swipe to finish Activity pattern,<p>I have seen this pattern on both Tumblr and Telegram apps.</p>&#xA;&#xA;<p>When you are in a detail view (Searching for a Hashtag on Tumblr or in a conversation on Telegram) and swipe from left to right (like if you were going to pull a <code>Navigatio,2,2862,1,The problem is immediately solved
109,3,32255963,Why does my RegEx get two different results depending on platform?,"<p>I have a RegEx pattern:</p>&#xA;&#xA;<pre><code>@"((?(?!\.\d)\D)*)(\d*\.\d+|\d+)*((?(?&lt;=\d).*))"&#xA;</code></pre>&#xA;&#xA;<p>designed to break a string into 3 parts. If i have the strings</p>&#xA;&#xA;<pre><code>"asdf1234asdf"&#xA;"asdf .1234asdf"""p>I have a RegEx pattern:</p>&#xA;&#xA;<pre><code>@"((?(?!\.\d)\D)*)(\d*\.\d+|\d+)*((?(?&lt;=\d).*))"&#xA;</code></pre>&#xA;&#xA;<p>designed to break a string into 3 parts. If i have the strings</p>&#xA"">I have a RegEx pattern:</p>&#xA;&#xA;<pre><code>@"((?(?!\.\d)\D)*)(\d*\.\d+|\d+)*((?(?&lt;=\d).*))"&#xA;</code></pre>&#xA;&#xA;<p>designed to break a""I have a RegEx pattern:</p>&#xA;&#xA;<pre><code>@"((?(?!\.\d)\D)*)(\d*\.\d+|\d+)*((?(?&lt;=\d).*))""" have a RegEx pattern:</p>&#xA;&#xA;<pre><code>@"""",3,91,1,The problem is immediately solved
110,3,24362025,Passing int back in NavigationController,"<p>I'm sitting with a issue which I can't solve in a while. I must be doing something very wrong.&#xA;I have 2 views, a <code>UIView</code> and <code>UITableView</code>. They're embedded with a <code>NavigationController</code>.</p>&#xA;&#xA;<p>In the sec",0,61,1,The problem is immediately solved
111,3,20067322,Redefine massive of fixed size,<p>I have an array size of 10. it must contains ten last values of incoming parameters (number of incoming parameters is nearly 3k) I have some logic in following loop:</p>&#xA;&#xA;<pre><code>for (int i=0; i&lt;incomingLength; i++)&#xA;{&#xA; //and here ,1,58,1,The problem is immediately solved
112,3,27534790,CMD compile using jar files,<p>How can I add two or more jar file in the compile step using cmd?</p>&#xA;&#xA;<p>using one jar file: </p>&#xA;&#xA;<pre><code>javac -g -cp YOUR_JAR.jar YOUR_FILE_NAME.java&#xA;</code></pre>&#xA;&#xA;<p>Any ideas how to compile two jar files?  </p>&#xA,0,58,1,The problem is immediately solved
113,3,11409759,How to use data stored in sharedpreferences from non-activity class,<p>I am trying to get and update the data which I stored in sharedpreferences xml file from a non-activity class.But I dont know how to reach the data stored in sharedPreferences from a non-activity class in android.In my activiy class i can store data in,3,2686,1,The problem is immediately solved
114,3,13106950,Set window.location with TypeScript,<p>I am getting an error with the following TypeScript code:</p>&#xA;&#xA;<pre><code> ///&lt;reference path='../../../Shared/typescript/jquery.d.ts' /&gt;&#xA; ///&lt;reference path='../../../Shared/typescript/jqueryStatic.d.ts' /&gt;&#xA;&#xA; function a,40,22232,1,The problem is immediately solved
115,3,37360978,JavaScript strange behavior when set a class by setAttribute,<p>I want to set a specific class on some of the lines of my html code by JS. &#xA;On the output I have four lines and lines 1 and 2 and 4 (which started with Arabic characters) should be affected and get a red background. But it's strange why isn't secon,0,51,1,The problem is immediately solved
116,3,26935223,Unable to run a loop using while,"<p>I have written this code:</p>&#xA;&#xA;<pre><code>int sum,number;&#xA;sum=0;&#xA;number=1;&#xA;&#xA;while(number&lt;=11)&#xA;{&#xA;    sum=sum+number;&#xA;    cout &lt;&lt; sum;&#xA;    number++;&#xA;}&#xA;cout &lt;&lt; "The sum of the fist 11 is" cout""p>I have written this code:</p>",0,52,1,The problem is immediately solved
117,3,3887481,Problem in generating random number,"<blockquote>&#xA;  <p><strong>Possible Duplicate:</strong><br>&#xA;  <a href="https://stackoverflow.com/questions/932520/why-does-it-appear-that-my-random-number-generator-isnt-random-in-c">Why does it appear that my random number generator isn&#39;t rand""blockquote>&#xA;  <p><strong>Possible Duplicate:</strong><br>&#xA;  <a href="https://stackoverflow.com/questions/932520/why-does-it-appear-that-my-random-number-generator-isnt-r""lockquote>&#xA;  <p><strong>Possible Duplicate:</strong><br>&#xA;  <a href="https://stackoverflow.co""ockquote>&#xA;  <p><stro",1,640,1,The problem is immediately solved
118,3,5861215,Regular expression and sed to remove all occurences of some string from hundreds of files,"<p>I'm perusing the web for information about regular expressions and sed usage.  I've also got sed's manual open.  Still, I'm posting this question here because I'm sure someone uses the two often enough that they can probably answer this question before",1,6030,1,The problem is immediately solved
119,3,41688439,changing float to string,"<p>I used <code>float</code> to read a number in a text file. for example : <code>number=float(25.0000)</code> ,then I tried to write this number in another file, so I used <code>str</code> format. But what I saw in my text file was like <code>25.0</code>",-1,41,1,The problem is immediately solved
120,3,38832672,Centre div inside another,"<p>I am having trouble centering content of one div inside of another because the content doesn't appear.</p>&#xA;&#xA;<p><div class="snippet" data-lang="js" data-hide="false" data-console="true" data-babel="false">&#xD;&#xA;<div class="snippet-code">&#xD""p>I am having trouble centering content of one div inside of another because the content doesn't appear.</p>&#xA;&#xA;<p>",-1,43,1,The problem is immediately solved
121,3,32840627,ArrayList Object assigned to LIst Object internal working,"<p>So far from most  the related posts i have understood  difference in usage between <strong>ArrayList assigned to List ,and ArrayList assigned to ArrayList</strong></p>&#xA;&#xA;<pre><code>   ArrayList&lt;String&gt; arrName =  new ArrayList&lt;String&gt",0,61,1,The problem is immediately solved
122,3,20584674,Ruby 2.0 - Rounding an integer to the nearest multiple of 10,"<p>How do i round an integer to the nearest multiple of ten?</p>&#xA;&#xA;<p>I have tried <code>integer.round(0.1)</code> but it gives the nearest <em>decimal</em> number.</p>&#xA;&#xA;<p>Example: 3 should return 0, 55 should return 60.</p>&#xA;&#xA;<p>Is",19,7361,1,The problem is immediately solved
